

"Close Approach Definition"
"Advanced CAT object: sgp4ESSS                                                        "
"Close Approach Threshold: 20.000000 (km)                                             "
"Close Approach Time Interval: 23 Oct 2013 03:58:20.414 to 23 Oct 2014 03:58:20.414   "
"Point-to-Point Mode is ON.  Finite ellipsoid sizes have been overridden to be points."

"Settings"
"Out of Date Filter is OFF.                                                                                  "
"Apo Peri Filter    is ON.  Pad  is 30.000000 (km)                                                           "
"Path Filter        is OFF.                                                                                  "
"Time Filter        is OFF.                                                                                  "
""
"Each local range minimum is reported as a separate event with corresponding conjunction TCA (i.e., ConjTCA)."
"Additionally, an interval endpoint time will be reported as a separate event with corresponding             "
"conjunction TCA (i.e., ConjTCA) if it is the global range minimum over the interval                      "
""
"Secondaries whose SSC number match the primary SSC number have been ignored.                                "
""
"MaxSampleStepSize is 300.000000 secs                                                                        "
"MinSampleStepSize is 1.000000 secs                                                                          "

"Name","Status","Type","Tangential (km)","Cross-Track (km)","Normal (km)"
"Satellite/ENVISAT_27386","Found Scenario Object","Scenario Object",0.200000,0.100000,0.040000

"Name","Status","Type","Tangential (km)","Cross-Track (km)","Normal (km)"
"spaceTrackTLEs_23_10_2013.tce","Found File","Tle File",0.200000,0.100000,0.040000

"SSC","ConjTCA (UTCG)","Min Range (km)","Max Collision Probability","Collision Probability (Analytic)","Collision Probability (Numeric)","Collision Probability (Patera 2005)"
"21014",8 Feb 2014 13:14:10.102,9.171717,3.3335e-006,1.0000e-305,0.0000e+000,-2.5021e-019
"36706",8 Feb 2014 14:33:38.297,16.442477,9.1368e-007,1.0000e-305,0.0000e+000,3.0197e-020
"25040",8 Feb 2014 14:50:02.468,16.293340,2.3997e-006,1.0000e-305,0.0000e+000,5.8238e-020
"34297",8 Feb 2014 15:06:00.316,12.453653,1.5251e-006,1.0000e-305,0.0000e+000,2.3295e-019
"34388",8 Feb 2014 15:09:08.118,18.805710,6.6816e-007,1.0000e-305,0.0000e+000,2.5021e-019
"33939",8 Feb 2014 15:57:10.345,12.286241,1.5664e-006,1.0000e-305,0.0000e+000,4.0982e-020
"34388",8 Feb 2014 15:59:20.281,16.837227,8.3356e-007,1.0000e-305,0.0000e+000,3.4511e-020
"34297",8 Feb 2014 16:46:20.939,17.112347,8.0787e-007,1.0000e-305,0.0000e+000,2.6746e-019
"33939",8 Feb 2014 16:47:13.462,5.317743,8.3620e-006,1.0000e-305,0.0000e+000,6.9022e-020
"34388",8 Feb 2014 16:49:26.685,9.551710,2.5902e-006,1.0000e-305,0.0000e+000,2.0707e-019
"33939",8 Feb 2014 17:37:24.901,17.042096,8.1424e-007,1.0000e-305,0.0000e+000,1.5961e-019
"19256",8 Feb 2014 18:04:08.845,18.906092,1.1460e-006,1.0000e-305,0.0000e+000,-8.6278e-020
"35658",8 Feb 2014 18:23:02.346,4.012935,1.4725e-005,1.0000e-305,0.0000e+000,3.0197e-020
"33948",8 Feb 2014 18:40:38.439,14.234731,1.1678e-006,1.0000e-305,1.4941e-307,2.4158e-019
"34588",8 Feb 2014 20:17:00.925,9.181649,2.8028e-006,1.0000e-305,0.0000e+000,2.9335e-019
"33948",8 Feb 2014 20:21:02.831,18.978068,6.5688e-007,1.0000e-305,1.4055e-307,2.0707e-019
"35885",8 Feb 2014 20:21:50.533,7.717115,3.9748e-006,1.0000e-305,0.0000e+000,-3.4511e-020
"37031",8 Feb 2014 20:43:11.691,19.524102,8.1749e-007,1.0000e-305,0.0000e+000,4.4218e-020
"5175",8 Feb 2014 21:19:56.359,18.797393,9.0489e-007,1.0000e-305,0.0000e+000,2.8040e-020
"33839",8 Feb 2014 21:35:25.373,11.119027,3.4159e-006,1.0000e-305,0.0000e+000,7.3336e-020
"34454",8 Feb 2014 21:47:15.040,13.254577,1.3463e-006,1.0000e-305,0.0000e+000,5.8238e-020
"18187",8 Feb 2014 22:09:19.846,6.727782,4.1010e-005,1.0000e-305,2.2826e-308,8.6278e-020
"37031",8 Feb 2014 22:23:27.728,19.537186,8.1643e-007,1.0000e-305,0.0000e+000,1.0785e-020
"21350",8 Feb 2014 23:57:53.789,16.139676,1.7792e-006,1.0000e-305,0.0000e+000,7.3336e-020
"21350",9 Feb 2014 00:48:00.488,17.024918,1.5989e-006,1.0000e-305,0.0000e+000,1.1863e-020
"37986",9 Feb 2014 00:55:04.563,13.727507,1.3193e-006,1.0000e-305,0.0000e+000,6.0395e-020
"36939",9 Feb 2014 01:54:23.572,15.165349,1.0703e-006,1.0000e-305,0.0000e+000,3.1060e-019
