

"Close Approach Definition"
"Advanced CAT object: sgp4ESSS                                                        "
"Close Approach Threshold: 20.000000 (km)                                             "
"Close Approach Time Interval: 23 Oct 2013 03:58:20.414 to 23 Oct 2014 03:58:20.414   "
"Point-to-Point Mode is ON.  Finite ellipsoid sizes have been overridden to be points."

"Settings"
"Out of Date Filter is OFF.                                                                                  "
"Apo Peri Filter    is ON.  Pad  is 30.000000 (km)                                                           "
"Path Filter        is OFF.                                                                                  "
"Time Filter        is OFF.                                                                                  "
""
"Each local range minimum is reported as a separate event with corresponding conjunction TCA (i.e., ConjTCA)."
"Additionally, an interval endpoint time will be reported as a separate event with corresponding             "
"conjunction TCA (i.e., ConjTCA) if it is the global range minimum over the interval                      "
""
"Secondaries whose SSC number match the primary SSC number have been ignored.                                "
""
"MaxSampleStepSize is 300.000000 secs                                                                        "
"MinSampleStepSize is 1.000000 secs                                                                          "

"Name","Status","Type","Tangential (km)","Cross-Track (km)","Normal (km)"
"Satellite/ENVISAT_27386","Found Scenario Object","Scenario Object",0.040000,0.010000,0.001600

"Name","Status","Type","Tangential (km)","Cross-Track (km)","Normal (km)"
"spaceTrackTLEs_23_10_2013.tce","Found File","Tle File",0.040000,0.010000,0.001600

"SSC","ConjTCA (UTCG)","Min Range (km)","Max Collision Probability","Collision Probability (Analytic)","Collision Probability (Numeric)","Collision Probability (Patera 2005)"
"15033",24 Feb 2014 03:35:04.295,14.801046,1.0431e-005,1.0000e-305,0.0000e+000,-1.1594e-020
"35441",24 Feb 2014 03:37:16.107,11.707253,4.4128e-006,1.0000e-305,0.0000e+000,-2.4805e-020
"37550",24 Feb 2014 04:04:11.762,18.116269,6.3763e-006,1.0000e-305,0.0000e+000,-1.7256e-019
"38188",24 Feb 2014 04:12:33.556,7.412043,1.4099e-005,1.0000e-305,0.0000e+000,-2.6746e-019
"15033",24 Feb 2014 04:25:17.034,12.358870,1.4966e-005,1.0000e-305,0.0000e+000,-6.3360e-021
"25506",24 Feb 2014 04:29:18.283,14.553875,5.7241e-006,1.0000e-305,0.0000e+000,-2.0491e-020
"36495",24 Feb 2014 04:53:15.043,0.529605,6.9843e-003,1.0000e-305,0.0000e+000,-5.7289e-018
"24904",24 Feb 2014 04:55:52.120,16.376426,1.0340e-005,1.0000e-305,0.0000e+000,1.5638e-020
"37986",24 Feb 2014 05:01:02.831,19.741795,3.4507e-006,1.0000e-305,0.0000e+000,-3.9904e-020
"19257",24 Feb 2014 05:02:36.341,15.433343,4.2949e-006,1.0000e-305,0.0000e+000,-8.3582e-020
"26347",24 Feb 2014 05:50:30.552,14.918217,6.5745e-006,1.0000e-305,0.0000e+000,-1.3804e-019
"27450",24 Feb 2014 06:28:40.668,14.495071,1.6913e-005,1.0000e-305,0.0000e+000,2.9658e-021
"5556",24 Feb 2014 06:35:51.660,7.912655,3.1395e-005,1.0000e-305,0.0000e+000,6.7405e-021
"19257",24 Feb 2014 06:42:50.986,9.958167,1.0347e-005,1.0000e-305,0.0000e+000,-6.0934e-020
"19257",24 Feb 2014 07:32:56.649,15.833532,4.0989e-006,1.0000e-305,0.0000e+000,-4.7992e-020
"19257",24 Feb 2014 08:23:05.631,13.771827,5.4260e-006,1.0000e-305,0.0000e+000,-3.6668e-020
"36381",24 Feb 2014 08:40:28.885,6.441294,1.4571e-005,1.0000e-305,0.0000e+000,-1.3459e-018
"34037",24 Feb 2014 08:45:01.160,19.002287,1.6770e-006,1.0000e-305,0.0000e+000,-1.1216e-019
"34019",24 Feb 2014 08:55:28.502,18.549081,1.8168e-006,1.0000e-305,0.0000e+000,-2.3187e-020
"34963",24 Feb 2014 09:00:55.137,17.762002,2.2207e-006,1.0000e-305,0.0000e+000,-1.0785e-021
"34301",24 Feb 2014 09:13:00.728,6.579972,1.8254e-005,1.0000e-305,0.0000e+000,-2.0491e-020
"19257",24 Feb 2014 09:13:11.302,14.976031,4.5953e-006,1.0000e-305,0.0000e+000,-3.8286e-020
"36943",24 Feb 2014 09:14:24.322,10.218135,1.2663e-005,1.0000e-305,0.0000e+000,-2.3187e-020
"35749",24 Feb 2014 10:45:06.979,8.446947,2.9275e-005,1.0000e-305,0.0000e+000,-8.6278e-021
"25285",24 Feb 2014 11:38:01.266,13.751251,1.1085e-005,1.0000e-305,0.0000e+000,3.1276e-020
"21418",24 Feb 2014 12:23:55.503,17.880146,5.7937e-006,1.0000e-305,0.0000e+000,-3.1006e-021
"35278",24 Feb 2014 12:35:12.112,4.817223,2.9819e-005,1.0000e-305,0.0000e+000,-2.1742e-018
"37719",24 Feb 2014 12:55:55.268,0.691833,1.4247e-003,1.0000e-305,0.0000e+000,-2.2432e-018
"35334",24 Feb 2014 14:11:34.837,13.283301,8.3322e-006,1.0000e-305,0.0000e+000,-6.7944e-020
"35032",24 Feb 2014 14:13:23.842,1.958827,4.7149e-004,1.0000e-305,0.0000e+000,-1.2510e-019
"35278",24 Feb 2014 14:15:31.813,19.907914,1.7508e-006,1.0000e-305,0.0000e+000,-1.8981e-019
"35278",24 Feb 2014 15:05:26.178,19.880288,1.7579e-006,1.0000e-305,0.0000e+000,-1.0515e-020
"33819",24 Feb 2014 15:44:47.808,17.441789,3.6572e-006,1.0000e-305,0.0000e+000,-3.5050e-021
"34302",24 Feb 2014 17:23:51.840,18.418851,2.3832e-006,1.0000e-305,0.0000e+000,-2.6962e-021
"39089",24 Feb 2014 17:24:18.878,19.080134,3.3505e-006,1.0000e-305,0.0000e+000,-1.2295e-019
"25504",24 Feb 2014 19:41:05.593,17.703453,4.7914e-006,1.0000e-305,0.0000e+000,-1.0785e-020
"30454",24 Feb 2014 19:59:30.623,14.457750,1.0842e-005,1.0000e-305,0.0000e+000,-1.4155e-020
"36441",24 Feb 2014 21:35:29.714,19.496428,3.1704e-006,1.0000e-305,0.0000e+000,-1.3481e-020
"8923",24 Feb 2014 21:43:28.342,18.011957,3.4984e-006,1.0000e-305,0.0000e+000,-2.3457e-020
"18187",24 Feb 2014 22:22:50.873,17.991287,1.8453e-005,1.0000e-305,0.0000e+000,-3.6399e-020
"22699",25 Feb 2014 00:47:08.784,9.551555,7.1315e-006,1.0000e-305,0.0000e+000,5.0688e-020
"32170",25 Feb 2014 00:54:35.060,12.207759,7.7149e-006,1.0000e-305,0.0000e+000,-2.0707e-019
"35032",25 Feb 2014 01:04:50.819,18.200907,5.5371e-006,1.0000e-305,0.0000e+000,-2.1570e-021
"24950",25 Feb 2014 01:46:53.024,12.361819,2.1339e-005,1.0000e-305,6.5676e-311,8.3582e-021
"11869",25 Feb 2014 03:25:10.565,12.627549,5.8605e-006,1.0000e-305,0.0000e+000,-1.4559e-020
"39094",25 Feb 2014 03:25:36.007,11.349977,9.4525e-006,1.0000e-305,0.0000e+000,-2.2001e-019
"38536",25 Feb 2014 04:23:48.508,13.895700,1.0117e-005,1.0000e-305,0.0000e+000,-5.5272e-021
"32172",25 Feb 2014 05:35:44.662,14.089665,3.3988e-006,1.0000e-305,0.0000e+000,-2.4266e-020
"36732",25 Feb 2014 07:15:42.964,9.618188,7.2767e-006,1.0000e-305,0.0000e+000,-8.5200e-020
"22436",25 Feb 2014 07:33:41.373,19.628449,2.0088e-006,1.0000e-305,0.0000e+000,-2.5021e-019
"36028",25 Feb 2014 07:39:05.037,16.457890,6.9527e-006,1.0000e-305,0.0000e+000,-1.0138e-019
"26270",25 Feb 2014 07:42:56.604,11.227535,1.3777e-005,1.0000e-305,0.0000e+000,-1.6911e-018
"34918",25 Feb 2014 08:10:02.121,16.086910,2.3406e-006,1.0000e-305,0.0000e+000,-2.7609e-019
"33775",25 Feb 2014 08:27:59.005,11.357638,1.6182e-005,1.0000e-305,0.0000e+000,-1.0785e-020
"31957",25 Feb 2014 08:55:21.880,11.963486,4.7877e-006,1.0000e-305,0.0000e+000,-2.5883e-020
"38263",25 Feb 2014 09:38:59.667,10.116689,6.5193e-006,1.0000e-305,0.0000e+000,2.6423e-020
"34560",25 Feb 2014 10:14:58.262,15.143586,4.7111e-006,1.0000e-305,0.0000e+000,-1.1054e-020
"35459",25 Feb 2014 10:15:00.680,16.196053,5.5671e-006,1.0000e-305,0.0000e+000,-2.1570e-021
